image_id,s,o,r,r_inv,label,split,d_id:s,d_id:o,d_id:so,d_inv:s,d_inv:o,d_inv:so,a_orig
2402403,wings,camera,above,below,1,eval,0.140625,0.09375,0.21874994039535522,-0.140625,-0.09375,-0.21875,1.015625
2324183,feathers,birds,above,below,0,eval,0.17187505960464478,0.031250059604644775,0.10937494039535522,-0.015625,0.046875,0.0625,0.84375
2405229,suit,platter,wearing,worn by,0,eval,0.06250005960464478,0.01562511920928955,0.15625005960464478,-0.015625,0.015625,0.15625,0.8281250596046448
2363931,girl,shorts,to the left of,to the right of,1,calib,-0.34375,0.0,-0.34375,-0.34375,0.0,-0.34375,1.765625
2374063,glass,table,on top of,under,1,eval,0.234375,0.171875,0.9375,-0.03125,-0.453125,0.4375,2.328125
2408827,gloves,sauce,under,on top of,1,calib,0.328125,0.42187511920928955,0.671875,0.578125,0.46875,0.84375,2.328125
2403858,tail,fence,above,below,1,calib,0.0,0.453125,0.4375,0.0,0.5,0.4687500596046448,0.53125
2382358,policeman,horse,riding,ridden by,1,calib,-0.53125,0.625,-0.09375,-1.265625,-0.234375,-1.078125,1.828125
2406564,man,motorcycle,watching,watched by,1,eval,-0.015624940395355225,0.3437500596046448,0.3125000596046448,0.375,1.8125,1.546875,0.4531250596046448
2354282,motorcycle,bike,in front of,behind,0,eval,-0.031249940395355225,-0.203125,-0.1875,-5.960464477539063e-08,0.0625,0.3437499403953552,0.84375
341,woman,van,in front of,behind,1,eval,0.1875,0.328125,0.390625,0.015625,-0.1875,-0.140625,1.25
2374063,glass,table,near,near,0,eval,-0.296875,0.0625,0.4375,0.703125,-0.3125,1.140625,2.96875
2374177,doors,elephant,in front of,behind,1,eval,0.4687500596046448,0.031249940395355225,-0.140625,0.5781250596046448,0.03125,-0.09375,0.859375
2375154,roof,umbrella,near,near,1,eval,-0.015625,1.3437501192092896,1.328125,0.4375,0.75,1.234375,3.296875
2381216,head,hillside,near,near,1,calib,0.32812511920928955,1.25,1.109375,-0.046875,0.578125,0.53125,2.234375
2325391,head,statue,below,above,1,calib,-0.14062505960464478,-0.046875,-0.21875,0.12499994039535522,-0.046875,0.046875,-0.9375
2360431,lettuce,lid,below,above,1,calib,0.078125,-0.046875,-0.0625,0.15625,0.1875,0.15625,1.140625
2388665,lamps,bed,carrying,carried by,0,eval,0.0,-0.234375,-0.25,0.0,0.09375,0.09375,-1.53125
2375154,roof,umbrella,above,below,0,eval,0.109375,0.9218750596046448,0.828125,0.203125,0.17187505960464478,0.3593750596046448,1.734375
2318427,beer bottle,dish,next to,next to,1,eval,1.1875,0.03125,2.375,1.0625,-0.03125,2.03125,3.21875
2365702,shore,horse,wearing,worn by,0,eval,0.9531251192092896,0.4843750596046448,0.8906250596046448,0.8593749403953552,0.39062488079071045,0.35937488079071045,0.4531250596046448
2367240,bracelet,sandwich,near,near,1,calib,1.25,1.265625,1.609375,1.96875,0.671875,1.890625,3.34375
2359457,characters,fork,under,on top of,1,calib,0.453125,0.484375,0.40625,2.140625,1.0,2.140625,0.890625
2384672,guy,shirt,wearing,worn by,1,eval,1.25,0.609375,1.34375,1.5625,0.046875,1.21875,2.640625
2391205,foot,sand,above,below,1,eval,0.359375,1.21875,1.1875,0.42187511920928955,0.6875001192092896,0.6406251192092896,1.515625
2386698,table,lamp,under,on top of,1,eval,-0.765625,0.0,-0.765625,-0.984375,0.0,-0.984375,0.109375
2387947,wing,cow,to the left of,to the right of,1,eval,0.9218748807907104,1.4062498807907104,0.9218748807907104,0.53125,1.703125,1.46875,1.8593748807907104
2339847,keyboard,laptop,behind,in front of,1,eval,-0.062499940395355225,-0.0625,-0.09375005960464478,-0.046875,-0.03125,-0.046875,0.40625
2403858,tail,fence,under,on top of,0,calib,0.0,1.0312501192092896,1.0312500596046448,0.0,0.0625,0.078125,0.7656250596046448
2335455,star,motorcycle,riding,ridden by,1,eval,1.0625,1.609375,1.609375,1.0781249403953552,0.96875,0.921875,2.671875
2331876,person,paper,above,below,0,eval,1.015625,0.046875,1.296875,0.20312505960464478,-0.06249988079071045,0.7500000596046448,1.4375
2391275,bathtub,toilet,next to,next to,1,eval,1.359375,3.1093749403953552,1.7031250596046448,1.4375,4.09375,1.453125,2.625
2381216,head,hillside,behind,in front of,0,calib,-0.265625,-0.328125,-0.84375,0.34375,0.359375,0.18749994039535522,-0.53125
2410495,chair,paper,behind,in front of,0,eval,1.6875,0.3125,1.5625,1.84375,0.46875,2.078125,2.5
2342152,head,fence,above,below,1,calib,0.24999994039535522,0.24999994039535522,0.3593749403953552,0.140625,0.3281250596046448,0.4531250596046448,0.4999999403953552
2374177,doors,elephant,riding,ridden by,0,eval,-0.109375,0.140625,-0.15625,0.015625,0.09375,-0.3906249403953552,-1.65625
2402492,keyboard,girl,below,above,0,calib,-0.484375,0.8125,0.5625000596046448,-0.21875,-0.046874940395355225,0.12499994039535522,-0.109375
2348133,pole,bus,under,on top of,0,calib,-0.10937494039535522,1.09375,1.03125,-0.15624994039535522,0.6875,0.640625,0.59375
2413325,post,jeans,to the right of,to the left of,1,calib,0.21875,0.40625,0.53125,0.34375,0.390625,0.625,1.984375
2358790,shoe,onion,to the left of,to the right of,1,eval,-0.062499940395355225,0.21875005960464478,0.10937505960464478,0.015625,0.2968749403953552,0.265625,0.8906250596046448
2350006,hat,skis,to the right of,to the left of,0,eval,0.34375011920928955,0.53125,0.39062511920928955,-0.28125,-0.046875,-0.078125,2.21875
2408827,gloves,sauce,near,near,0,calib,0.5625,0.609375,1.0,0.765625,0.75,1.15625,3.890625
2342152,arm,fence,above,below,1,calib,0.109375,0.6874999403953552,0.6562500596046448,0.203125,0.484375,0.59375,1.296875
2348133,pole,bus,in front of,behind,1,calib,0.14062494039535522,0.8125,0.765625,0.046875,-0.09375,-0.18750005960464478,0.875
2346025,umbrella,bag,carrying,carried by,1,eval,0.17187505960464478,-0.28125,0.5,0.5156249403953552,0.140625,1.234375,0.78125
2372730,banana,gloves,to the right of,to the left of,0,calib,0.1875,-0.0625,-0.03125,0.09375,-0.015625,-0.140625,2.453125
2391385,trees,cow,below,above,1,eval,0.062499940395355225,1.6874999403953552,1.5156250596046448,0.296875,0.8749999403953552,0.7656249403953552,0.96875
2346025,woman,bag,carrying,carried by,1,eval,0.78125,0.0625,1.96875,0.21875,-0.046875,1.890625,3.03125
2384254,bushes,umbrella,below,above,1,eval,-0.015625,-0.03125,-0.09375,-0.25,0.4531249403953552,0.296875,1.015625
2406564,shorts,motorcycle,to the left of,to the right of,0,eval,-0.3749999403953552,-0.4999999403953552,-0.5156249403953552,-0.109375,0.59375,0.609375,0.8906250596046448
2335455,star,motorcycle,above,below,0,eval,0.10937505960464478,0.7343749403953552,0.7343750596046448,0.078125,0.265625,0.265625,1.109375
2873,store,jeans,wearing,worn by,1,calib,0.140625,0.109375,0.15625,-0.8281249403953552,0.2812500596046448,-0.8437499403953552,0.046875
2363785,sandwich,plate,below,above,0,eval,0.25,0.0,0.25,0.4218749403953552,0.0,0.4218749403953552,0.296875
2330666,jeans,kites,watching,watched by,1,eval,0.23437494039535522,-0.015625059604644775,0.28125,0.15625,0.28125,0.453125,0.9375
2403439,clouds,platform,to the left of,to the right of,0,calib,-0.015625,0.28125,0.171875,0.03125,0.1875,0.21875,2.5
713411,sign,motorcycle,riding,ridden by,1,eval,-0.03125,0.234375,0.10937494039535522,0.140625,0.06250005960464478,0.15625,-0.59375
2401748,plate,tablecloth,wearing,worn by,0,eval,1.078125,-0.015625059604644775,1.015625,1.1093750596046448,-0.04687488079071045,1.0625001192092896,-0.25
2339847,keyboard,laptop,above,below,0,eval,0.0,0.0,0.015625,-0.015625,0.140625,0.109375,-0.140625
2358790,shoe,onion,next to,next to,0,eval,0.09375,0.328125,0.3281250596046448,0.453125,0.296875,0.6250000596046448,1.203125
2399534,skate park,skateboarder,under,on top of,0,calib,0.4374999403953552,0.78125,1.390625,0.890625,2.75,3.5781250596046448,0.9375
2393461,jeans,woman,below,above,1,eval,0.046874940395355225,-0.046875,-0.09375,-0.21874994039535522,0.21875005960464478,0.015625059604644775,0.890625
2397873,bushes,bridge,below,above,0,calib,-0.03125,0.875,0.6718748807907104,0.140625,1.109375,1.1875,2.59375
2365505,man,box,behind,in front of,0,calib,1.609375,1.546875,1.640625,1.59375,1.515625,1.5625,1.140625
2354282,guy,bike,riding,ridden by,1,eval,4.734375,0.734375,4.296875,1.34375,0.21875,1.21875,2.65625
1066,doll,stuffed bear,below,above,1,eval,-0.6249999403953552,0.0,-0.625,-0.984375,0.015625,-0.984375,0.234375
2374543,bench,shirt,wearing,worn by,1,calib,0.2812499403953552,0.17187494039535522,0.546875,0.3593749403953552,0.21874994039535522,0.3749999403953552,-0.4375
2381256,ladder,roadway,next to,next to,1,calib,0.0,0.296875,0.296875,0.0,0.3125,0.328125,1.53125
2407415,car,driver,to the right of,to the left of,1,calib,0.0,-0.015625,-0.015625,-1.1920928955078125e-07,0.046874940395355225,0.031249940395355225,0.34375
2393683,shirt,racket,near,near,0,calib,4.5,4.437500059604645,4.5,3.390625,3.140625,3.578125,5.21875
